Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
15047;Morillons - Dantzig;OUI;52;43;10;6;4;OUI;OUI;2020-03-29T18:35:24+02:00;48.8331014995,2.29938000441;Paris;
5005;Gay Lussac - Saint-Jacques;OUI;24;19;5;3;2;OUI;OUI;2020-03-29T18:37:34+02:00;48.8447302561,2.34192394487;Paris;
17008;Porte Pouchet-Bessières;OUI;23;18;5;3;2;OUI;OUI;2020-03-29T18:35:47+02:00;48.8978765,2.3230632;Paris;
17012;Mairie du 17ème;OUI;24;21;3;2;1;OUI;OUI;2020-03-29T18:36:13+02:00;48.8841618487,2.3220794311;Paris;
17004;Legendre - Clichy;OUI;40;34;7;5;2;OUI;OUI;2020-03-29T18:30:51+02:00;48.8889616186,2.32252897509;Paris;
43401;Gare RER - Canadiens;OUI;45;25;20;15;5;OUI;OUI;2020-03-29T18:38:01+02:00;48.8199530796,2.46417675246;Joinville-le-Pont;
25003;Henri Ste-Claire Déville - Paul Héroult;OUI;24;20;4;0;4;OUI;OUI;2020-03-29T18:33:04+02:00;48.892663,2.172411;Rueil-Malmaison;
11026;Chemin Vert - Saint-Maur;OUI;45;36;9;5;4;OUI;OUI;2020-03-29T18:35:19+02:00;48.8611246141,2.38129902631;Paris;
15021;Joseph Liouville - Croix Nivert;OUI;64;44;20;17;3;OUI;OUI;2020-03-29T18:36:37+02:00;48.8448354712,2.29750849307;Paris;
19022;Marché Secrétan;OUI;26;21;5;2;3;OUI;OUI;2020-03-29T18:36:45+02:00;48.8812549638,2.37346328795;Paris;
5123;Saint-Germain - Thenard;OUI;31;14;4;4;0;OUI;OUI;2020-03-29T18:38:16+02:00;48.850571,2.3471015;Paris;
42302;Aristide Briand - Gare de Bagneux;OUI;22;16;6;0;6;OUI;OUI;2020-03-29T18:37:44+02:00;48.7938726966,2.32114881277;Cachan;
10113;Parmentier - Hôpital Saint-Louis;OUI;43;30;12;5;7;OUI;OUI;2020-03-29T18:36:45+02:00;48.8713798743,2.36989638367;Paris;
19005;Flandre - Riquet;OUI;21;10;11;3;8;OUI;OUI;2020-03-29T18:36:07+02:00;48.8880132814,2.37375959552;Paris;
16121;Jardin d'Acclimatation;OUI;33;27;5;5;0;OUI;OUI;2020-03-29T18:36:44+02:00;48.8787722425,2.27077223361;Paris;
12029;Dugommier;OUI;55;24;31;28;3;OUI;OUI;2020-03-29T18:38:22+02:00;48.8388110488,2.38965779543;Paris;
41604;Lagny - Joffre;OUI;31;27;4;2;2;OUI;OUI;2020-03-29T18:37:45+02:00;48.8493068708,2.41794973612;Saint-Mandé;
8102;Lamennais - Washington;OUI;26;18;8;8;0;OUI;OUI;2020-03-29T18:37:11+02:00;48.8735299003,2.30344489217;Paris;
21111;Professeur René Leriche - Général Leclerc;OUI;50;39;11;5;6;OUI;OUI;2020-03-29T18:35:57+02:00;48.9078284548,2.3078879714;Clichy;
15055;Vasco de Gama;OUI;54;28;26;24;2;OUI;OUI;2020-03-29T18:36:20+02:00;48.8367178347,2.28366408565;Paris;
21019;Edouard Vaillant - Paul-Adolphe Souriau;OUI;28;17;11;9;2;OUI;OUI;2020-03-29T18:33:48+02:00;48.8348458588,2.24794596434;Boulogne-Billancourt;
20109;Haxo - Surmelin;OUI;21;17;4;1;3;OUI;OUI;2020-03-29T18:36:28+02:00;48.8694370761,2.40539657538;Paris;
15108;Lourmel - Marie Skobtsov;OUI;22;0;21;12;9;OUI;OUI;2020-03-29T18:35:53+02:00;48.844974,2.287283;Paris;
17046;Mac-Mahon - Brey;OUI;25;22;3;1;2;OUI;OUI;2020-03-29T18:30:26+02:00;48.8775320841,2.29451253605;Paris;
18049;Porte d'Aubervilliers;OUI;55;37;19;11;8;OUI;OUI;2020-03-29T18:36:47+02:00;48.8985966194,2.36897226423;Paris;
18008;Square Léon;OUI;33;23;9;4;5;OUI;OUI;2020-03-29T18:37:44+02:00;48.8866739679,2.35320556909;Paris;
11010;Boulets - Faubourg Saint-Antoine;OUI;43;20;23;18;5;OUI;OUI;2020-03-29T18:36:34+02:00;48.8492592621,2.39175461419;Paris;
11043;Place Pasdeloup;OUI;21;11;10;7;3;OUI;OUI;2020-03-29T18:36:34+02:00;48.8626542156,2.36703250628;Paris;
18017;Caulaincourt - Place Constantin Pecqueur;OUI;44;34;10;1;9;OUI;OUI;2020-03-29T18:31:35+02:00;48.889677905,2.33817871443;Paris;
10033;Gare du Nord - Saint-Vincent de Paul;OUI;24;20;3;1;2;OUI;OUI;2020-03-29T18:37:05+02:00;48.8809557416,2.35243051484;Paris;
17102;Alfred Roll - Berthier;OUI;34;31;4;2;2;OUI;OUI;2020-03-29T18:38:19+02:00;48.8878085705,2.30009529818;Paris;
10114;Granges aux Belles - Hôpital Saint-Louis;OUI;60;45;15;11;4;OUI;OUI;2020-03-29T18:37:50+02:00;48.8747949948,2.36666943698;Paris;
2013;Favart - Italiens;OUI;17;12;5;4;1;OUI;OUI;2020-03-29T18:36:35+02:00;48.8714463539,2.33829010585;Paris;
7113;Berges de Seine - Musée d'Orsay;OUI;16;16;0;0;0;NON;NON;2020-03-04T19:19:59+01:00;48.8627885937,2.30645935982;Paris;
17016;Brochant - Square des Batignolles;OUI;31;22;9;8;1;OUI;OUI;2020-03-29T18:36:27+02:00;48.8881869858,2.31686114315;Paris;
13114;Nationale - Marcel Duchamp;OUI;23;19;4;2;2;OUI;OUI;2020-03-29T18:31:11+02:00;48.8246374934,2.36780148;Paris;
13019;Fernand Braudel - Vincent Auriol;OUI;36;23;13;9;4;OUI;OUI;2020-03-29T18:34:05+02:00;48.8363785232,2.3723404482;Paris;
9113;Bleue - Trévise;OUI;30;16;14;5;9;OUI;OUI;2020-03-29T18:30:49+02:00;48.8757890656,2.34728962183;Paris;
6027;Blaise-Desgoffe - Vaugirard;OUI;32;22;10;8;2;OUI;OUI;2020-03-29T18:36:23+02:00;48.8461288777,2.32426721603;Paris;
13035;Choisy - Tolbiac;OUI;26;21;4;3;1;OUI;OUI;2020-03-29T18:36:31+02:00;48.8259115559,2.36023932695;Paris;
41210;Hôtel de ville de Fontenay-sous-Bois;OUI;20;16;4;0;4;OUI;OUI;2020-03-29T18:38:21+02:00;48.8494974911,2.47501641512;Fontenay-sous-Bois;
